ID,Genres,Avg_Rating,Num_Ratings
1,Fantasy,4.47,9278135
1,Fiction,4.47,9278135
1,Young Adult,4.47,9278135
1,Magic,4.47,9278135
1,Childrens,4.47,9278135
1,Middle Grade,4.47,9278135
1,Classics,4.47,9278135
5,Classics,4.32,1924063
5,Fiction,4.32,1924063
5,Fantasy,4.32,1924063
5,Childrens,4.32,1924063
5,France,4.32,1924063
5,Philosophy,4.32,1924063
5,Young Adult,4.32,1924063
9,Fantasy,4.52,644766
9,Classics,4.52,644766
9,Fiction,4.52,644766
9,Adventure,4.52,644766
9,Science Fiction Fantasy,4.52,644766
9,Epic Fantasy,4.52,644766
9,High Fantasy,4.52,644766
10,Historical Fiction,4.39,2364659
10,Fiction,4.39,2364659
10,Young Adult,4.39,2364659
10,Historical,4.39,2364659
10,Classics,4.39,2364659
10,War,4.39,2364659
10,World War II,4.39,2364659
15,Fantasy,4.62,3468276
15,Young Adult,4.62,3468276
15,Fiction,4.62,3468276
15,Magic,4.62,3468276
15,Childrens,4.62,3468276
15,Adventure,4.62,3468276
15,Audiobook,4.62,3468276
16,Fiction,4.33,2954721
16,Historical Fiction,4.33,2954721
16,Classics,4.33,2954721
16,Contemporary,4.33,2954721
16,Novels,4.33,2954721
16,Historical,4.33,2954721
16,Literature,4.33,2954721
18,Childrens,4.38,1067524
18,Fiction,4.38,1067524
18,Picture Books,4.38,1067524
18,Classics,4.38,1067524
18,Poetry,4.38,1067524
18,Young Adult,4.38,1067524
18,Fantasy,4.38,1067524
21,Young Adult,4.33,7963002
21,Fiction,4.33,7963002
21,Dystopia,4.33,7963002
21,Fantasy,4.33,7963002
21,Science Fiction,4.33,7963002
21,Romance,4.33,7963002
21,Adventure,4.33,7963002
25,Childrens,4.3,735514
25,Picture Books,4.3,735514
25,Fiction,4.3,735514
25,Classics,4.3,735514
25,Poetry,4.3,735514
25,Fantasy,4.3,735514
25,Humor,4.3,735514
26,Fantasy,4.58,3808160
26,Fiction,4.58,3808160
26,Young Adult,4.58,3808160
26,Magic,4.58,3808160
26,Childrens,4.58,3808160
26,Middle Grade,4.58,3808160
26,Audiobook,4.58,3808160
30,Nonfiction,4.36,1170381
30,Classics,4.36,1170381
30,History,4.36,1170381
30,Memoir,4.36,1170381
30,Holocaust,4.36,1170381
30,Biography,4.36,1170381
30,School,4.36,1170381
31,Classics,4.3,1179002
31,Historical Fiction,4.3,1179002
31,Fiction,4.3,1179002
31,Romance,4.3,1179002
31,Historical,4.3,1179002
31,War,4.3,1179002
31,Literature,4.3,1179002
32,Religion,4.43,272793
32,Classics,4.43,272793
32,Nonfiction,4.43,272793
32,Christian,4.43,272793
32,Philosophy,4.43,272793
32,History,4.43,272793
32,Christianity,4.43,272793
33,Fantasy,4.56,3397378
33,Young Adult,4.56,3397378
33,Fiction,4.56,3397378
33,Magic,4.56,3397378
33,Childrens,4.56,3397378
33,Middle Grade,4.56,3397378
33,Audiobook,4.56,3397378
36,Fantasy,4.58,3048651
36,Young Adult,4.58,3048651
36,Fiction,4.58,3048651
36,Magic,4.58,3048651
36,Childrens,4.58,3048651
36,Adventure,4.58,3048651
36,Audiobook,4.58,3048651
38,Fantasy,4.32,3744
38,Classics,4.32,3744
38,Essays,4.32,3744
38,Fiction,4.32,3744
38,Fairy Tales,4.32,3744
38,Literary Criticism,4.32,3744
38,Writing,4.32,3744
43,Fiction,4.47,2600987
43,Historical Fiction,4.47,2600987
43,Historical,4.47,2600987
43,Adult,4.47,2600987
43,Adult Fiction,4.47,2600987
43,Classics,4.47,2600987
43,Contemporary,4.47,2600987
53,Fiction,4.42,1428213
53,Historical Fiction,4.42,1428213
53,Contemporary,4.42,1428213
53,Historical,4.42,1428213
53,Novels,4.42,1428213
53,War,4.42,1428213
53,Classics,4.42,1428213
54,Classics,4.3,918700
54,Fiction,4.3,918700
54,Young Adult,4.3,918700
54,Historical Fiction,4.3,918700
54,Childrens,4.3,918700
54,Middle Grade,4.3,918700
54,Audiobook,4.3,918700
55,Poetry,4.32,1336522
55,Childrens,4.32,1336522
55,Classics,4.32,1336522
55,Fiction,4.32,1336522
55,Humor,4.32,1336522
55,Young Adult,4.32,1336522
55,Picture Books,4.32,1336522
57,Science Fiction,4.31,1309236
57,Young Adult,4.31,1309236
57,Fantasy,4.31,1309236
57,Classics,4.31,1309236
57,Science Fiction Fantasy,4.31,1309236
57,Dystopia,4.31,1309236
57,War,4.31,1309236
67,Childrens,4.36,387581
67,Picture Books,4.36,387581
67,Fiction,4.36,387581
67,Classics,4.36,387581
67,Poetry,4.36,387581
67,Fantasy,4.36,387581
67,Young Adult,4.36,387581
70,Classics,4.35,313861
70,Childrens,4.35,313861
70,Fiction,4.35,313861
70,Fantasy,4.35,313861
70,Animals,4.35,313861
70,Middle Grade,4.35,313861
70,Audiobook,4.35,313861
71,Fantasy,4.38,2686920
71,Classics,4.38,2686920
71,Fiction,4.38,2686920
71,Adventure,4.38,2686920
71,High Fantasy,4.38,2686920
71,Science Fiction Fantasy,4.38,2686920
71,Epic Fantasy,4.38,2686920
83,Childrens,4.3,358773
83,Picture Books,4.3,358773
83,Classics,4.3,358773
83,Fiction,4.3,358773
83,Poetry,4.3,358773
83,Kids,4.3,358773
83,Animals,4.3,358773
84,Fantasy,4.43,3597747
84,Fiction,4.43,3597747
84,Young Adult,4.43,3597747
84,Magic,4.43,3597747
84,Childrens,4.43,3597747
84,Middle Grade,4.43,3597747
84,Audiobook,4.43,3597747
87,Classics,4.35,150166
87,Historical Fiction,4.35,150166
87,Childrens,4.35,150166
87,Fiction,4.35,150166
87,Young Adult,4.35,150166
